areaCode,areaName,populationSize,surfaceArea
43,austria,8935112,83879
4301,wien,1911728,415
4302,niederosterreich,1684623,19178
4303,oberosterreich,1490392,11982
4304,steiermark,1246576,16401
4305,tirol,757852,12648
4306,karnten,561390,9536
4307,salzburg,558479,7154
4308,vorarlberg,397094,2601
4309,burgenland,294466,3965
