areaCode,areaName,areaDefinition
386,Slovenia,Slovenia
38601,Eastern Slovenia,Eastern Slovenia (first of two slovenian cohesion regions)
386011,Mura,Mura (statistical region from eastern Slovenia)
386012,Drava,Drava (statistical region from eastern Slovenia)
386013,Carinthia,Carinthia (statistical region from eastern Slovenia)
386014,Savinja,Savinja (statistical region from eastern Slovenia)
386015,Central Sava,Central Sava (statistical region from eastern Slovenia)
386016,Lower Sava,Lower Sava (statistical region from eastern Slovenia)
386017,Southeast Slovenia,Southeast Slovenia (statistical region from eastern Slovenia)
386018,Littoral-Inner Carniola,Littoral-Inner Carniola (statistical region from eastern Slovenia)
38602,Western Slovenia ,Western Slovenia (second of two slovenian cohesion regions)
386021,Central Slovenia,Central Slovenia (statistical region from western Slovenia)
386022,Upper Carniola,Upper Carniola (statistical region from western Slovenia)
386023,Gorizia,Gorizia (statistical region from western Slovenia)
386024,Coastal-Karst,Coastal-Karst (statistical region from western Slovenia)
