areaCode,areaID,populationSize,surfaceArea
38602308,miren_kostanjevica,4976,6300
38602309,nova_gorica,31881,28000
38602310,tolmin,10997,38200
38602311,vipava,5763,10700
38602312,sempeter_vrtojba,6245,1500
38602313,rence_vogrsko,4361,3000
38602401,divaca,4255,14500
38602402,hrpelje_kozina,4671,19500
38602403,izola,16589,2900
38602404,komen,3549,10300
38602405,koper,52773,30300
38602406,piran,18079,4300
38602407,sezana,13702,21700
38602408,ankaran,3253,800
