areaCode,areaName,areaDefinition
41,Svizzera,Confederazione Svizzera
4101,Zurigo,Canton Zurigo
4102,Berna,Canton Berna
4103,Lucerna,Canton Lucerna
4104,Uri,Canton Uri
4105,Svitto,Canton Svitto
4106,Obvaldo,Canton Obvaldo
4107,Nidvaldo,Canton Nidvaldo
4108,Glarona,Canton Glarona
4109,Zugo,Canton Zugo
4110,Friburgo,Canton Friburgo
4111,Soletta,Canton Soletta
4112,Basilea Città,Canton Basilea Città
4113,Basilea Campagna,Canton Basilea Campagna
4114,Sciaffusa,Canton Sciaffusa
4115,Appenzello Esterno,Canton Appenzello Esterno
4116,Appenzello Interno,Canton Appenzello Interno
4117,San Gallo,Canton San Gallo
4118,Grigioni,Cantone dei Grigioni
4119,Argovia,Canton Argovia
4120,Turgovia,Canton Turgovia
4121,Ticino,Canton Ticino
4122,Vaud,Canton Vaud
4123,Vallese,Canton Vallese
4124,Neuchâtel,Cantone di Neuchâtel
4125,Ginevra,Cantone di Ginevra
4126,Giura,Canton Giura
