areaCode,areaCodeParent,areaName
41,41,Switzerland
4101,41,Zürich
4102,41,Bern
4103,41,Luzern
4104,41,Uri
4105,41,Schwyz
4106,41,Obwalden
4107,41,Nidwalden
4108,41,Glarus
4109,41,Zug
4110,41,Fribourg
4111,41,Solothurn
4112,41,Basel-Stadt
4113,41,Basel-Landschaft
4114,41,Schaffhausen
4115,41,Appenzell Ausserrhoden
4116,41,Appenzell Innerrhoden
4117,41,St Gallen
4118,41,Graubünden
4119,41,Aargau
4120,41,Thurgau
4121,41,Ticino
4122,41,Vaud
4123,41,Valais
4124,41,Neuchâtel
4125,41,Genève
4126,41,Jura
