areaCode,areaID,populationSize,surfaceArea
386,slovenia,2100126,20271
38601,vzhodna_slovenija,1084300,12212
386011,pomurska,114287,1337
386012,podravska,324104,2170
386013,koroska,70588,1041
386014,savinjska,261851,2384
386015,zasavska,41606,264
386016,posavska,70067,885
386017,jugovzhodna_slovenija,144032,2675
386018,primorsko_notranjska,52544,1456
38602,zahodna_slovenija,933800,8061
386021,osrednjeslovenska,564527,2555
386022,gorenjska,20467,2137
386023,goriska,117616,2325
386024,obalno_kraska,115016,1044
