areaCode,areaName,areaDefinition
3911010,Torino,Comune di Torino
391101001,Moncalieri,Comune di Moncalieri
391101002,Collegno,Comune di Collegno
391101003,Rivoli,Comune di Rivoli
391101004,Settimo Torinese,Comune di Settimo Torinese
391101005,Nichelino,Comune di Nichelino
391101006,Grugliasco,Comune di Grugliasco
391101007,Chieri,Comune di Chieri
391101008,Pinerolo,Comune di Pinerolo
391101009,Venaria Reale,Comune di Venaria Reale
391101010,Carmagnola,Comune di Carmagnola
391101011,Chivasso,Comune di Chivasso
391101012,Orbassano,Comune di Orbassano
391101013,Ivrea,Comune di Ivrea
391101014,Rivalta di Torino,Comune di Rivalta di Torino
391101015,San Mauro Torinese,Comune di San Mauro Torinese
391101016,Ciriè,Comune di Ciriè
391101017,Piossasco,Comune di Piossasco
391101018,Beinasco,Comune di Beinasco
391101019,Alpignano,Comune di Alpignano
391101020,Leini,Comune di Leini
391101021,Giaveno,Comune di Giaveno
391101022,Pianezza,Comune di Pianezza
391101023,Volpiano,Comune di Volpiano
391101024,Vinovo,Comune di Vinovo
391101025,Caselle Torinese,Comune di Caselle Torinese
391101026,Avigliana,Comune di Avigliana
391101027,Rivarolo Canavese,Comune di Rivarolo Canavese
391101028,Borgaro Torinese,Comune di Borgaro Torinese
391101029,Trofarello,Comune di Trofarello
391101030,Santena,Comune di Santena
391101031,San Maurizio Canavese,Comune di San Maurizio Canavese
391101032,Poirino,Comune di Poirino
391101033,Castellamonte,Comune di Castellamonte
391101034,Cuorgnè,Comune di Cuorgnè
391101035,Gassino Torinese,Comune di Gassino Torinese
391101036,Carignano,Comune di Carignano
391101037,Druento,Comune di Druento
391101038,La Loggia,Comune di La Loggia
391101039,Brandizzo,Comune di Brandizzo
391101040,Bruino,Comune di Bruino
391101041,Volvera,Comune di Volvera
391101042,Pino Torinese,Comune di Pino Torinese
391101043,None,Comune di None
391101044,Cumiana,Comune di Cumiana
391101045,Mappano,Comune di Mappano
391101046,Caluso,Comune di Caluso
391101047,Luserna San Giovanni,Comune di Luserna San Giovanni
391101048,Nole,Comune di Nole
391101049,Castiglione Torinese,Comune di Castiglione Torinese
391101050,Almese,Comune di Almese
391101051,Buttigliera Alta,Comune di Buttigliera Alta
391101052,Susa,Comune di Susa
391101053,Strambino,Comune di Strambino
391101054,Cambiano,Comune di Cambiano
391101055,San Benigno Canavese,Comune di San Benigno Canavese
391101056,Bussoleno,Comune di Bussoleno
391101057,Candiolo,Comune di Candiolo
391101058,Cavour,Comune di Cavour
391101059,Montanaro,Comune di Montanaro
391101060,Favria,Comune di Favria
391101061,Vigone,Comune di Vigone
391101062,Lanzo Torinese,Comune di Lanzo Torinese
391101063,Rosta,Comune di Rosta
391101064,San Francesco al Campo,Comune di San Francesco al Campo
391101065,Verolengo,Comune di Verolengo
391101066,Riva presso Chieri,Comune di Riva presso Chieri
391101067,Sant'Ambrogio di Torino,Comune di Sant'Ambrogio di Torino
391101068,Villastellone,Comune di Villastellone
391101069,Bricherasio,Comune di Bricherasio
391101070,Villafranca Piemonte,Comune di Villafranca Piemonte
391101071,Torre Pellice,Comune di Torre Pellice
391101072,Condove,Comune di Condove
391101073,Sant'Antonino di Susa,Comune di Sant'Antonino di Susa
391101074,Mazzè,Comune di Mazzè
391101075,Pecetto Torinese,Comune di Pecetto Torinese
391101076,San Carlo Canavese,Comune di San Carlo Canavese
391101077,Villar Perosa,Comune di Villar Perosa
391101078,Val della Torre,Comune di Val della Torre
391101079,Givoletto,Comune di Givoletto
391101080,Piobesi Torinese,Comune di Piobesi Torinese
391101081,Mathi,Comune di Mathi
391101082,Trana,Comune di Trana
391101083,Pavone Canavese,Comune di Pavone Canavese
391101084,Sangano,Comune di Sangano
391101085,San Secondo di Pinerolo,Comune di San Secondo di Pinerolo
391101086,Baldissero Torinese,Comune di Baldissero Torinese
391101087,Airasca,Comune di Airasca
391101088,Borgofranco d'Ivrea,Comune di Borgofranco d'Ivrea
391101089,Villarbasse,Comune di Villarbasse
391101090,Bibiana,Comune di Bibiana
391101091,Montalto Dora,Comune di Montalto Dora
391101092,Piscina,Comune di Piscina
391101093,Cafasse,Comune di Cafasse
391101094,Oulx,Comune di Oulx
391101095,Forno Canavese,Comune di Forno Canavese
391101096,San Giusto Canavese,Comune di San Giusto Canavese
391101097,Scalenghe,Comune di Scalenghe
391101098,Pont Canavese,Comune di Pont Canavese
391101099,Banchette,Comune di Banchette
391101100,Perosa Argentina,Comune di Perosa Argentina
391101101,Corio,Comune di Corio
391101102,Balangero,Comune di Balangero
391101103,Bardonecchia,Comune di Bardonecchia
391101104,Coazze,Comune di Coazze
391101105,San Gillio,Comune di San Gillio
391101106,San Raffaele Cimena,Comune di San Raffaele Cimena
391101107,Bosconero,Comune di Bosconero
391101108,Robassomero,Comune di Robassomero
391101109,Valperga,Comune di Valperga
391101110,Caselette,Comune di Caselette
391101111,Torrazza Piemonte,Comune di Torrazza Piemonte
391101112,Pinasca,Comune di Pinasca
391101113,Frossasco,Comune di Frossasco
391101114,Villar Dora,Comune di Villar Dora
391101115,Romano Canavese,Comune di Romano Canavese
391101116,Fiano,Comune di Fiano
391101117,Agliè,Comune di Agliè
391101118,Cantalupa,Comune di Cantalupa
391101119,San Giorgio Canavese,Comune di San Giorgio Canavese
391101120,Rivara,Comune di Rivara
391101121,Rubiana,Comune di Rubiana
391101122,Cavagnolo,Comune di Cavagnolo
391101123,Foglizzo,Comune di Foglizzo
391101124,Feletto,Comune di Feletto
391101125,Borgone Susa,Comune di Borgone Susa
391101126,Castagnole Piemonte,Comune di Castagnole Piemonte
391101127,Bollengo,Comune di Bollengo
391101128,Caprie,Comune di Caprie
391101129,Chiaverano,Comune di Chiaverano
391101130,Andezeno,Comune di Andezeno
391101131,Pancalieri,Comune di Pancalieri
391101132,Roletto,Comune di Roletto
391101133,Villar Focchiardo,Comune di Villar Focchiardo
391101134,San Sebastiano da Po,Comune di San Sebastiano da Po
391101135,Pralormo,Comune di Pralormo
391101136,Casalborgone,Comune di Casalborgone
391101137,Rondissone,Comune di Rondissone
391101138,Salassa,Comune di Salassa
391101139,Lessolo,Comune di Lessolo
391101140,Cercenasco,Comune di Cercenasco
391101141,La Cassa,Comune di La Cassa
391101142,Reano,Comune di Reano
391101143,San Germano Chisone,Comune di San Germano Chisone
391101144,Castagneto Po,Comune di Castagneto Po
391101145,Lombardore,Comune di Lombardore
391101146,Rocca Canavese,Comune di Rocca Canavese
391101147,Front,Comune di Front
391101148,Albiano d'Ivrea,Comune di Albiano d'Ivrea
391101149,Busano,Comune di Busano
391101150,Chiusa di San Michele,Comune di Chiusa di San Michele
391101151,Chianocco,Comune di Chianocco
391101152,Rivarossa,Comune di Rivarossa
391101153,Barbania,Comune di Barbania
391101154,Settimo Vittone,Comune di Settimo Vittone
391101155,Samone,Comune di Samone
391101156,Cascinette d'Ivrea,Comune di Cascinette d'Ivrea
391101157,Bruzolo,Comune di Bruzolo
391101158,Coassolo Torinese,Comune di Coassolo Torinese
391101159,Brusasco,Comune di Brusasco
391101160,Lauriano,Comune di Lauriano
391101161,Vauda Canavese,Comune di Vauda Canavese
391101162,Oglianico,Comune di Oglianico
391101163,Sciolze,Comune di Sciolze
391101164,Locana,Comune di Locana
391101165,San Pietro Val Lemina,Comune di San Pietro Val Lemina
391101166,Vaie,Comune di Vaie
391101167,Verrua Savoia,Comune di Verrua Savoia
391101168,Piverone,Comune di Piverone
391101169,Buriasco,Comune di Buriasco
391101170,Campiglione Fenile,Comune di Campiglione Fenile
391101171,Marentino,Comune di Marentino
391101172,Val di Chy,Comune di Val di Chy
391101173,Prarostino,Comune di Prarostino
391101174,Mercenasco,Comune di Mercenasco
391101175,Azeglio,Comune di Azeglio
391101176,Villanova Canavese,Comune di Villanova Canavese
391101177,Vische,Comune di Vische
391101178,Ozegna,Comune di Ozegna
391101179,Candia Canavese,Comune di Candia Canavese
391101180,Osasco,Comune di Osasco
391101181,Macello,Comune di Macello
391101182,Rivalba,Comune di Rivalba
391101183,Loranzè,Comune di Loranzè
391101184,Virle Piemonte,Comune di Virle Piemonte
391101185,Germagnano,Comune di Germagnano
391101186,Burolo,Comune di Burolo
391101187,Pavarolo,Comune di Pavarolo
391101188,Sauze d'Oulx,Comune di Sauze d'Oulx
391101189,Arignano,Comune di Arignano
391101190,Villar Pellice,Comune di Villar Pellice
391101191,Porte,Comune di Porte
391101192,Lombriasco,Comune di Lombriasco
391101193,Ceres,Comune di Ceres
391101194,Quincinetto,Comune di Quincinetto
391101195,Valchiusa,Comune di Valchiusa
391101196,Viù,Comune di Viù
