areaCode,areaID,populationSize,surfaceArea
33,france,67848156,672051
330,france_metropolitaine,64844037,543941
3301,ile_de_france,12213447,12011
330101,paris,2175601,105
330102,seine_et_marne,1412516,5915
330103,yvelines,1441398,2284
330104,essonne,1296641,1804
330105,hauts_de_seine,1619120,176
330106,seine_saint_denis,1632677,236
330107,val_de_marne,1396913,245
330108,val_doise,1238581,1246
3302,centre_val_de_loire,2572853,39151
330201,cher,303408,7235
330202,eure_et_loir,431997,5880
330203,indre,220595,6791
330204,indre_et_loire,607760,6127
330205,loir_et_cher,330248,6343
330206,loiret,678845,6775
3303,bourgogne_franche_comte,2807807,47784
330301,cote_dor,533220,8763
330302,doubs,541454,5234
330303,jura_fr,259746,4999
330304,nievre,205828,6817
330305,haute_saone,236018,5360
330306,saone_et_loire,552185,8575
330307,yonne,337504,7427
330308,territoire_de_belfort,141852,609
3304,normandie,3327477,29907
330401,calvados,694056,5548
330402,eure,599962,6040
330403,manche,495983,5938
330404,orne,281593,6103
330405,seine_maritime,1255883,6278
3305,hauts_de_france,6004108,31806
330501,aisne,533316,7369
330502,nord,2606234,5743
330503,oise,827153,5860
330504,pas_de_calais,1466743,6671
330505,somme,570662,6170
3306,grand_est,5550389,57441
330601,ardennes,271845,5229
330602,aube,310020,6004
330603,marne,567462,8162
330604,haute_marne,174069,6211
330605,meurthe_et_moselle,733469,5246
330606,meuse,185355,6211
330607,moselle,1043524,6216
330608,bas_rhin,1133552,4755
330609,haut_rhin,764981,3525
330610,vosges,366112,5874
3307,pays_de_la_loire,3781423,32082
330701,loire_atlantique,1412502,6815
330702,maine_et_loire,815883,7166
330703,mayenne,307084,5175
330704,sarthe,565963,6206
3308,bretagne,3335414,27208
330801,cotes_darmor,599584,6878
330802,finistere,911735,6733
330803,ille_et_vilaine,1069228,6775
330804,morbihan,754867,6823
3309,nouvelle_aquitaine,5979778,84036
330901,charente,351778,5956
330902,charente_maritime,646932,6864
330903,correze,240583,5857
330904,creuse,117503,5565
330905,dordogne,413418,9060
330906,gironde,1601845,10725
330907,landes,410355,9243
330908,lot_et_garonne,331970,5361
330909,pyrenees_atlantiques,679810,7645
330910,deux_sevres,374799,5999
330911,vienne,437586,6990
330912,haute_vienne,373199,5520
3310,occitanie,5885496,72724
331001,ariege,153066,4890
331002,aude,372806,6139
331003,aveyron,279274,8735
331004,gard,745458,5853
331005,haute_garonne,1380672,6309
331006,gers,191283,6257
331007,herault,1159220,6101
331008,lot,173929,5217
331009,lozere,76520,5167
331010,hautes_pyrenees,229191,4464
331011,pyrenees_orientales,476357,4116
331012,tarn,388596,5758
331013,tarn_et_garonne,259124,3718
3311,auvergne_rhone_alpes,7994459,69711
331101,ain,647634,5762
331102,allier,337171,7340
331103,ardeche,326606,5529
331104,cantal,144765,5726
331105,drome,514732,6530
331106,isere,1263563,7431
331107,loire,763441,4781
331108,haute_loire,227552,4977
331109,puy_de_dome,659048,7970
331110,rhone,1859524,3249
3311101,metropole_de_lyon,1385927,534
3311102,rhone_departement,38771,2715
331111,savoie,433724,6028
331112,haute_savoie,816699,4388
3312,provence_alpes_cote_dazur,5052832,31400
331201,vendee,679991,6720
331202,alpes_de_haute_provence,164068,6925
331203,hautes_alpes,140698,5549
331204,alpes_maritimes,1086219,4299
331205,bouches_du_rhone,2034357,5087
331206,var,1067697,5973
331207,vaucluse,559793,3567
3313,corse,338554,8680
331301,corse_du_sud,157853,4014
331302,haute_corse,180701,4666
332,drom,2145019,89168
3321,guadeloupe,387629,1628
3322,martinique,368783,1128
3323,guyane,276128,83534
3324,reunion,855961,2504
3325,mayotte,256518,376
